date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:43:16	9913/9913	---M--	200	added ('OK')	text/html	etag:%2214d956f93b80247291a80e97515ea2b8%22	https://tonedear.com/	./tonedear.com/index.html	(from )
06:43:16	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2026%20Jul%202020%2004:43:15%20GMT	https://tonedear.com/robots.txt		(from )
06:43:16	353/353	---M--	200	added ('OK')	image/gif	etag:%2283e699ecde0e801655d099b5b3319169%22	https://tonedear.com/images/favicon.gif	./tonedear.com/images/favicon.gif	(from https://tonedear.com/)
06:43:17	2105/2105	---M--	200	added ('OK')	text/css	etag:%2281b8053b22caf5f72d4aa1e7a69403d3%22	https://tonedear.com/css/base.css	./tonedear.com/css/base.css	(from https://tonedear.com/)
06:43:17	100470/100470	---M--	200	added ('OK')	text/css	etag:%22c658d96e5ccf870f9ebb707e565920fb%22	https://tonedear.com/bootstrap/css/bootstrap.min.css	./tonedear.com/bootstrap/css/bootstrap.min.css	(from https://tonedear.com/)
06:43:18	29165/29165	---M--	200	added ('OK')	application/javascript	etag:%227ed4423b21ec6298e52a0db4486f882d%22	https://tonedear.com/bootstrap/js/bootstrap.min.js	./tonedear.com/bootstrap/js/bootstrap.min.js	(from https://tonedear.com/)
06:43:18	19462/19462	---M--	200	added ('OK')	text/html	etag:%224e04e63c9a162bac1c3508f1f6b9149b%22	https://tonedear.com/ear-training/intervals	./tonedear.com/ear-training/intervals.html	(from https://tonedear.com/)
06:43:18	96381/96381	---M--	200	added ('OK')	application/javascript	etag:%228fc25e27d42774aeae6edbc0a18b72aa%22	https://tonedear.com/js/jquery-1.11.0.min.js	./tonedear.com/js/jquery-1.11.0.min.js	(from https://tonedear.com/)
06:43:19	19871/19871	---M--	200	added ('OK')	text/html	etag:%223dfc6507c8c37129fdecad6229deb027%22	https://tonedear.com/ear-training/chord-identification	./tonedear.com/ear-training/chord-identification.html	(from https://tonedear.com/)
06:43:19	16252/16252	---M--	200	added ('OK')	text/html	etag:%2201aa133d12ccc7a62b5b4cc13f384da3%22	https://tonedear.com/ear-training/scale-identification	./tonedear.com/ear-training/scale-identification.html	(from https://tonedear.com/)
06:43:19	17409/17409	---M--	200	added ('OK')	text/html	etag:%222d73b01219b854108977e359212b3171%22	https://tonedear.com/ear-training/chord-progressions	./tonedear.com/ear-training/chord-progressions.html	(from https://tonedear.com/)
06:43:19	15964/15964	---M--	200	added ('OK')	text/html	etag:%2250188165eb2dd4a1be08e5460d299fca%22	https://tonedear.com/ear-training/absolute-perfect-pitch-test	./tonedear.com/ear-training/absolute-perfect-pitch-test.html	(from https://tonedear.com/)
06:43:19	18293/18293	---M--	200	added ('OK')	text/html	etag:%22cd130e1d74b025c9f5b25c146b78d7df%22	https://tonedear.com/ear-training/functional-solfege-scale-degrees	./tonedear.com/ear-training/functional-solfege-scale-degrees.html	(from https://tonedear.com/)
06:43:20	20995/20995	---M--	200	added ('OK')	text/html	etag:%2214bf6e42fdb7165b360c84dda3c31b80%22	https://tonedear.com/ear-training/intervals-in-solfege-context	./tonedear.com/ear-training/intervals-in-solfege-context.html	(from https://tonedear.com/)
06:43:20	19129/19129	---M--	200	added ('OK')	text/html	etag:%226d88eb193b93736653141a749afdff17%22	https://tonedear.com/ear-training/melodic-dictation-practice	./tonedear.com/ear-training/melodic-dictation-practice.html	(from https://tonedear.com/)
06:43:20	8755/8755	---M--	200	added ('OK')	text/html	etag:%22a5e26917dd568b7b74ff2a77d4573e80%22	https://tonedear.com/ear-training/how-to-practice	./tonedear.com/ear-training/how-to-practice.html	(from https://tonedear.com/)
06:43:20	4709/4709	---M--	200	added ('OK')	text/html	etag:%2244d8b2034e5b65e4ba2742b513def4b9%22	https://tonedear.com/android-ios-ear-training-app	./tonedear.com/android-ios-ear-training-app.html	(from https://tonedear.com/)
06:43:20	3953/3953	---M--	200	added ('OK')	text/html	etag:%2218f6dbcabbc31e14ec2b60fe665488db%22	https://tonedear.com/contact	./tonedear.com/contact.html	(from https://tonedear.com/)
06:43:21	20335/20335	---M--	200	added ('OK')	binary/octet-stream	etag:%227ad17c6085dee9a33787bac28fb23d46%22	https://tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.eot	./tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.eot	(from https://tonedear.com/bootstrap/css/bootstrap.min.css)
06:43:21	20335/20335	---M--	200	added ('OK')	binary/octet-stream	etag:%227ad17c6085dee9a33787bac28fb23d46%22	https://tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.eot?	./tonedear.com/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from https://tonedear.com/bootstrap/css/bootstrap.min.css)
06:43:21	23320/23320	---M--	200	added ('OK')	application/font-woff	etag:%2268ed1dac06bf0409c18ae7bc62889170%22	https://tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.woff	./tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.woff	(from https://tonedear.com/bootstrap/css/bootstrap.min.css)
06:43:22	41280/41280	---M--	200	added ('OK')	binary/octet-stream	etag:%22e49d52e74b7689a0727def99da31f3eb%22	https://tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.ttf	./tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from https://tonedear.com/bootstrap/css/bootstrap.min.css)
06:43:22	62927/62927	---M--	200	added ('OK')	image/svg+xml	etag:%2232941d6330044744c02493835b799e90%22	https://tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.svg	./tonedear.com/bootstrap/fonts/glyphicons-halflings-regular.svg	(from https://tonedear.com/bootstrap/css/bootstrap.min.css)
06:43:23	2233/2233	---M--	200	added ('OK')	application/javascript	etag:%22c1a51eedac42ed9a5905e7035a1e4e47%22	https://tonedear.com/inc/shim/Base64.js	./tonedear.com/inc/shim/Base64.js	(from https://tonedear.com/ear-training/intervals)
06:43:23	3116/3116	---M--	200	added ('OK')	application/javascript	etag:%22f5554ecd2263937fcf6f86c4a5c8f190%22	https://tonedear.com/inc/shim/Base64binary.js	./tonedear.com/inc/shim/Base64binary.js	(from https://tonedear.com/ear-training/intervals)
06:43:23	3471/3471	---M--	200	added ('OK')	application/javascript	etag:%229cec676896e83f20fc1d583380494625%22	https://tonedear.com/inc/shim/WebAudioAPI.js	./tonedear.com/inc/shim/WebAudioAPI.js	(from https://tonedear.com/ear-training/intervals)
06:43:23	6494/6494	---M--	200	added ('OK')	application/javascript	etag:%22dc3c5bd90858d552dcd5009b1a83f8d5%22	https://tonedear.com/js/midi/audioDetect.js	./tonedear.com/js/midi/audioDetect.js	(from https://tonedear.com/ear-training/intervals)
06:43:24	6206/6206	---M--	200	added ('OK')	application/javascript	etag:%2282298be4118bc5fdff7a7ae85cd60fe5%22	https://tonedear.com/js/midi/gm.js	./tonedear.com/js/midi/gm.js	(from https://tonedear.com/ear-training/intervals)
06:43:24	5563/5563	---M--	200	added ('OK')	application/javascript	etag:%226df251e83d7bc2f627241950d65c913b%22	https://tonedear.com/js/midi/loader.js	./tonedear.com/js/midi/loader.js	(from https://tonedear.com/ear-training/intervals)
06:43:24	4211/4211	---M--	200	added ('OK')	application/javascript	etag:%221ac935c2f49be010d1d1f2f14956d183%22	https://tonedear.com/js/midi/plugin.audiotag.js	./tonedear.com/js/midi/plugin.audiotag.js	(from https://tonedear.com/ear-training/intervals)
06:43:24	10225/10225	---M--	200	added ('OK')	application/javascript	etag:%22a8c0e087adf567e70762a76c816d9591%22	https://tonedear.com/js/midi/plugin.webaudio.js	./tonedear.com/js/midi/plugin.webaudio.js	(from https://tonedear.com/ear-training/intervals)
06:43:24	2633/2633	---M--	200	added ('OK')	application/javascript	etag:%22ee6ff890a2fc3f71e1b4bec59df5ce54%22	https://tonedear.com/js/midi/plugin.webmidi.js	./tonedear.com/js/midi/plugin.webmidi.js	(from https://tonedear.com/ear-training/intervals)
06:43:25	4036/4036	---M--	200	added ('OK')	application/javascript	etag:%224559b8f00bacaabc8bad268cb94af472%22	https://tonedear.com/js/util/dom_request_xhr.js	./tonedear.com/js/util/dom_request_xhr.js	(from https://tonedear.com/ear-training/intervals)
06:43:25	5577/5577	---M--	200	added ('OK')	application/javascript	etag:%2275aec7bf86891f26e12b3c4670a04c4c%22	https://tonedear.com/js/util/dom_request_script.js	./tonedear.com/js/util/dom_request_script.js	(from https://tonedear.com/ear-training/intervals)
06:43:25	2240/2240	---M--	200	added ('OK')	application/javascript	etag:%222a9034ec0d9eddea4310464877d872df%22	https://tonedear.com/js/jQuery.fastClick.js	./tonedear.com/js/jQuery.fastClick.js	(from https://tonedear.com/ear-training/intervals)
06:43:25	3025/3025	---M--	200	added ('OK')	application/javascript	etag:%220b8e2c03bee4d11a9c2d8c7e77dd767e%22	https://tonedear.com/js/ear-training/helpers.js	./tonedear.com/js/ear-training/helpers.js	(from https://tonedear.com/ear-training/intervals)
06:43:25	3569/3569	---M--	200	added ('OK')	application/javascript	etag:%2275d34e4e95c665e6fd6c8474889ed2cf%22	https://tonedear.com/js/jquery.hotkeys.js	./tonedear.com/js/jquery.hotkeys.js	(from https://tonedear.com/ear-training/intervals)
06:43:26	12062/12062	---M--	200	added ('OK')	application/javascript	etag:%22c04f09e87cbddf606d18ed3874a70d01%22	https://tonedear.com/js/ear-training/base.js	./tonedear.com/js/ear-training/base.js	(from https://tonedear.com/ear-training/intervals)
06:43:26	2183/2183	---M--	200	added ('OK')	application/javascript	etag:%224a7cee310ec948caaab01e2ee87931d5%22	https://tonedear.com/js/ear-training/intervals.js	./tonedear.com/js/ear-training/intervals.js	(from https://tonedear.com/ear-training/intervals)
06:43:27	454/454	---M--	403	error ('Forbidden')	text/html	date:Sun,%2026%20Jul%202020%2004:43:27%20GMT	https://tonedear.com/ear-training/contact	./tonedear.com/ear-training/contact	(from https://tonedear.com/ear-training/intervals)
06:43:28	18802/18802	---M--	200	added ('OK')	image/png	etag:%222da5e0873b7f6cbeaa6edb3e1455f8ed%22	https://tonedear.com/images/apple-store-badge.png	./tonedear.com/images/apple-store-badge.png	(from https://tonedear.com/ear-training/intervals)
06:43:30	14212/14212	---M--	200	added ('OK')	image/png	etag:%220c6e0bc06570f8d0f28ec70993c4e16c%22	https://tonedear.com/images/google-play-badge.png	./tonedear.com/images/google-play-badge.png	(from https://tonedear.com/ear-training/intervals)
06:43:32	11145/11145	---M--	200	added ('OK')	application/javascript	etag:%22732e0261b326444a330b27bcb0c5f765%22	https://tonedear.com/js/ear-training/chords.js	./tonedear.com/js/ear-training/chords.js	(from https://tonedear.com/ear-training/chord-identification)
06:43:32	1330/1330	---M--	200	added ('OK')	application/javascript	etag:%2254f2743a37b62356ce5e27aa479e3213%22	https://tonedear.com/js/ear-training/scales.js	./tonedear.com/js/ear-training/scales.js	(from https://tonedear.com/ear-training/scale-identification)
06:43:32	6340/6340	---M--	200	added ('OK')	application/javascript	etag:%22495e55a39c9d98efb56cfb9e91cd9d23%22	https://tonedear.com/js/ear-training/chord_progressions.js	./tonedear.com/js/ear-training/chord_progressions.js	(from https://tonedear.com/ear-training/chord-progressions)
06:43:33	401/401	---M--	200	added ('OK')	application/javascript	etag:%2209bfe702737d245da3d430e69dc2861d%22	https://tonedear.com/js/ear-training/perfect_pitch.js	./tonedear.com/js/ear-training/perfect_pitch.js	(from https://tonedear.com/ear-training/absolute-perfect-pitch-test)
06:43:33	2641/2641	---M--	200	added ('OK')	application/javascript	etag:%22e047ee20af094b5245763f8227552dc9%22	https://tonedear.com/js/ear-training/functional.js	./tonedear.com/js/ear-training/functional.js	(from https://tonedear.com/ear-training/functional-solfege-scale-degrees)
06:43:33	8230/8230	---M--	200	added ('OK')	application/javascript	etag:%22c6a8589d03c159c76e7793c62069c7d4%22	https://tonedear.com/js/ear-training/scale_degree_interval.js	./tonedear.com/js/ear-training/scale_degree_interval.js	(from https://tonedear.com/ear-training/intervals-in-solfege-context)
06:43:33	10610/10610	---M--	200	added ('OK')	application/javascript	etag:%22717bd54062d7f9e5db6ba49cbb16dc88%22	https://tonedear.com/js/ear-training/melodic_dictation.js	./tonedear.com/js/ear-training/melodic_dictation.js	(from https://tonedear.com/ear-training/melodic-dictation-practice)
06:43:38	280291/280291	---M--	200	added ('OK')	application/javascript	etag:%222b4cb89dccf1542fa3d1eaff21d68731%22	https://tonedear.com/js/vexflow-min.js	./tonedear.com/js/vexflow-min.js	(from https://tonedear.com/ear-training/melodic-dictation-practice)
06:43:49	2253686/2253686	---M--	200	added ('OK')	application/javascript	etag:%22f9c8f6b60046ebcba62bcee966fb4009%22	https://tonedear.com/soundfont/acoustic_grand_piano-mp3.js	./tonedear.com/soundfont/acoustic_grand_piano-mp3.js	(from https://tonedear.com/ear-training/intervals)
